市区町村コード,市区町村,寄付額,控除額,寄付－控除額
01546,北海道 斜里郡 清里町,14139,1117,13022
01547,北海道 斜里郡 小清水町,114154,1970,112184
01549,北海道 常呂郡 訓子府町,33236,2187,31049
01550,北海道 常呂郡 置戸町,28988,1231,27757
01552,北海道 常呂郡 佐呂間町,206468,3574,202894
01555,北海道 紋別郡 遠軽町,41313,13575,27738
01559,北海道 紋別郡 湧別町,92282,5863,86419
01560,北海道 紋別郡 滝上町,10008,1352,8656
01561,北海道 紋別郡 興部町,107853,2872,104981
01562,北海道 紋別郡 西興部村,3920,520,3400
01563,北海道 紋別郡 雄武町,187580,4352,183228
01564,北海道 網走郡 大空町,204003,3174,200829
01571,北海道 虻田郡 豊浦町,51355,1988,49367
01575,北海道 有珠郡 壮瞥町,121015,594,120421
01578,北海道 白老郡 白老町,397614,5272,392342
01581,北海道 勇払郡 厚真町,516165,2155,514010
01584,北海道 虻田郡 洞爺湖町,75670,5453,70217
01585,北海道 勇払郡 安平町,588284,13486,574798
01586,北海道 勇払郡 むかわ町,46357,2113,44244
01601,北海道 沙流郡 日高町,102109,9213,92896
01602,北海道 沙流郡 平取町,177451,2846,174605
01604,北海道 新冠郡 新冠町,132333,4371,127962
01607,北海道 浦河郡 浦河町,593811,11446,582365
01608,北海道 様似郡 様似町,223373,2018,221355
01609,北海道 幌泉郡 えりも町,868660,2214,866446
01610,北海道 日高郡 新ひだか町,126983,18182,108801
01631,北海道 河東郡 音更町,548065,43729,504336
01632,北海道 河東郡 士幌町,267576,6973,260603
01633,北海道 河東郡 上士幌町,1763377,7444,1755933
01634,北海道 河東郡 鹿追町,111405,3865,107540
01635,北海道 上川郡 新得町,87097,3438,83659
01636,北海道 上川郡 清水町,194853,5258,189595
01637,北海道 河西郡 芽室町,96758,18766,77992
01638,北海道 河西郡 中札内村,759835,4722,755113
01639,北海道 河西郡 更別村,19369,1519,17850
01641,北海道 広尾郡 大樹町,251541,4428,247113
01642,北海道 広尾郡 広尾町,150407,4197,146210
01643,北海道 中川郡 幕別町,287790,24010,263780
01644,北海道 中川郡 池田町,746154,2472,743682
01645,北海道 中川郡 豊頃町,79703,2946,76757
01646,北海道 中川郡 本別町,89798,6162,83636
01647,北海道 足寄郡 足寄町,80502,4993,75509
01648,北海道 足寄郡 陸別町,11244,1392,9852
01649,北海道 十勝郡 浦幌町,87995,1692,86303
01661,北海道 釧路郡 釧路町,281411,12122,269289
01662,北海道 厚岸郡 厚岸町,465748,3197,462551
01663,北海道 厚岸郡 浜中町,701383,3342,698041
01664,北海道 川上郡 標茶町,113550,3230,110320
01665,北海道 川上郡 弟子屈町,3970551,2848,3967703
01667,北海道 阿寒郡 鶴居村,43249,1217,42032
01668,北海道 白糠郡 白糠町,9736640,2423,9734217
01691,北海道 野付郡 別海町,149600,13466,136134
01692,北海道 標津郡 中標津町,138262,20245,118017
01693,北海道 標津郡 標津町,158745,4103,154642
01694,北海道 目梨郡 羅臼町,412584,2523,410061
01695,北海道 色丹郡 色丹村,,,
01696,北海道 国後郡 泊村,,,
01697,北海道 国後郡 留夜別村,,,
01698,北海道 択捉郡 留別村,,,
01699,北海道 紗那郡 紗那村,,,
01700,北海道 蘂取郡 蘂取村,,,
02201,青森県 青森市,469634,217658,251976
02202,青森県 弘前市,655952,150409,505543
02203,青森県 八戸市,59568,169969,-110401
