市区町村コード,市区町村,寄付額,控除額,寄付－控除額
11229,埼玉県 和光市,12973,301963,-288990
11230,埼玉県 新座市,26124,286598,-260474
11231,埼玉県 桶川市,23683,125530,-101847
11232,埼玉県 久喜市,26929,227762,-200833
11233,埼玉県 北本市,600088,91366,508722
11234,埼玉県 八潮市,6300,181933,-175633
11235,埼玉県 富士見市,12870,226139,-213269
11237,埼玉県 三郷市,8255,227371,-219116
11238,埼玉県 蓮田市,6237,96681,-90444
11239,埼玉県 坂戸市,60530,139653,-79123
11240,埼玉県 幸手市,10986,50017,-39031
11241,埼玉県 鶴ヶ島市,229635,113552,116083
11242,埼玉県 日高市,305468,64888,240580
11243,埼玉県 吉川市,44775,94227,-49452
11245,埼玉県 ふじみ野市,30684,241642,-210958
11246,埼玉県 白岡市,32872,103092,-70220
11301,埼玉県 北足立郡 伊奈町,16330,66401,-50071
11324,埼玉県 入間郡 三芳町,331591,62152,269439
11326,埼玉県 入間郡 毛呂山町,21129,27233,-6104
11327,埼玉県 入間郡 越生町,7725,8897,-1172
11341,埼玉県 比企郡 滑川町,26,31077,-31051
11342,埼玉県 比企郡 嵐山町,2490,13869,-11379
11343,埼玉県 比企郡 小川町,19868,22126,-2258
11346,埼玉県 比企郡 川島町,46691,12454,34237
11347,埼玉県 比企郡 吉見町,108591,15669,92922
11348,埼玉県 比企郡 鳩山町,27800,10313,17487
11349,埼玉県 比企郡 ときがわ町,2146,8822,-6676
11361,埼玉県 秩父郡 横瀬町,49924,6327,43597
11362,埼玉県 秩父郡 皆野町,4701,3707,994
11363,埼玉県 秩父郡 長瀞町,13311,3666,9645
11365,埼玉県 秩父郡 小鹿野町,31500,4182,27318
11369,埼玉県 秩父郡 東秩父村,3129,553,2576
11381,埼玉県 児玉郡 美里町,34282,6488,27794
11383,埼玉県 児玉郡 神川町,8062,6947,1115
11385,埼玉県 児玉郡 上里町,6827,22665,-15838
11408,埼玉県 大里郡 寄居町,12250,17233,-4983
11442,埼玉県 南埼玉郡 宮代町,45543,43449,2094
11464,埼玉県 北葛飾郡 杉戸町,40739,52186,-11447
11465,埼玉県 北葛飾郡 松伏町,1770,25270,-23500
12100,千葉県 千葉市,101686,3531098,-3429412
12202,千葉県 銚子市,305610,31419,274191
12203,千葉県 市川市,48128,1739788,-1691660
12204,千葉県 船橋市,555418,1705978,-1150560
12205,千葉県 館山市,252204,34541,217663
12206,千葉県 木更津市,95400,202413,-107013
12207,千葉県 松戸市,116545,1166883,-1050338
12208,千葉県 野田市,67758,176762,-109004
12210,千葉県 茂原市,55993,85584,-29591
12211,千葉県 成田市,163175,185677,-22502
12212,千葉県 佐倉市,28029,353861,-325832
12213,千葉県 東金市,31017,44617,-13600
12215,千葉県 旭市,71321,45929,25392
12216,千葉県 習志野市,7263,581054,-573791
12217,千葉県 柏市,196607,1083179,-886572
12218,千葉県 勝浦市,963122,7764,955358
12219,千葉県 市原市,464682,341474,123208
12220,千葉県 流山市,42042,700228,-658186
12221,千葉県 八千代市,104614,445732,-341118
12222,千葉県 我孫子市,35750,299579,-263829
12223,千葉県 鴨川市,370529,36149,334380
12224,千葉県 鎌ケ谷市,15486,179207,-163721
12225,千葉県 君津市,565256,81809,483447
12226,千葉県 富津市,357879,24938,332941
12227,千葉県 浦安市,39265,953465,-914200
12228,千葉県 四街道市,18387,167196,-148809
12229,千葉県 袖ケ浦市,54156,94180,-40024
12230,千葉県 八街市,70171,36652,33519
12231,千葉県 印西市,56327,296732,-240405
12232,千葉県 白井市,141499,143782,-2283
12233,千葉県 富里市,13985,44060,-30075
12234,千葉県 南房総市,461841,16398,445443
12235,千葉県 匝瑳市,51489,23822,27667
12236,千葉県 香取市,217542,47334,170208
12237,千葉県 山武市,25397,31260,-5863
12238,千葉県 いすみ市,445070,24018,421052
12239,千葉県 大網白里市,123714,56097,67617
12322,千葉県 印旛郡 酒々井町,21270,22229,-959
12329,千葉県 印旛郡 栄町,79276,17558,61718
12342,千葉県 香取郡 神崎町,5310,3302,2008
12347,千葉県 香取郡 多古町,195037,5666,189371
12349,千葉県 香取郡 東庄町,6411,7700,-1289
12403,千葉県 山武郡 九十九里町,59357,5540,53817
12409,千葉県 山武郡 芝山町,17837,4465,13372
12410,千葉県 山武郡 横芝光町,79744,13204,66540
12421,千葉県 長生郡 一宮町,147941,18847,129094
12422,千葉県 長生郡 睦沢町,7079,4627,2452
12423,千葉県 長生郡 長生村,1079847,7254,1072593
12424,千葉県 長生郡 白子町,129684,5390,124294
12426,千葉県 長生郡 長柄町,38272,3087,35185
12427,千葉県 長生郡 長南町,15062,2479,12583
12441,千葉県 夷隅郡 大多喜町,116617,3570,113047
12443,千葉県 夷隅郡 御宿町,60042,4906,55136
12463,千葉県 安房郡 鋸南町,36467,3388,33079
13101,東京都 千代田区,259,1276446,-1276187
13102,東京都 中央区,92618,2405340,-2312722
13103,東京都 港区,24876,3898199,-3873323
13104,東京都 新宿区,12769,2557446,-2544677
13105,東京都 文京区,94579,1982679,-1888100
13106,東京都 台東区,33506,1010623,-977117
13107,東京都 墨田区,703113,1227461,-524348
13108,東京都 江東区,41018,3286837,-3245819
13109,東京都 品川区,32682,3073576,-3040894
13110,東京都 目黒区,98104,2736960,-2638856
13111,東京都 大田区,105451,3198053,-3092602
13112,東京都 世田谷区,368128,6074376,-5706248
13113,東京都 渋谷区,129300,3049575,-2920275
13114,東京都 中野区,22484,1558562,-1536078
13115,東京都 杉並区,202833,3016008,-2813175
13116,東京都 豊島区,26949,1580871,-1553922
13117,東京都 北区,3845,1366371,-1362526
13118,東京都 荒川区,4271,818121,-813850
13119,東京都 板橋区,27563,1736692,-1709129
13120,東京都 練馬区,324362,2588923,-2264561
13121,東京都 足立区,63472,1639061,-1575589
13122,東京都 葛飾区,30123,1035625,-1005502
13123,東京都 江戸川区,39779,1969839,-1930060
13201,東京都 八王子市,133285,1134616,-1001331
13202,東京都 立川市,10050,505962,-495912
13203,東京都 武蔵野市,108588,976543,-867955
13204,東京都 三鷹市,20290,780010,-759720
13205,東京都 青梅市,76274,145615,-69341
13206,東京都 府中市,397724,753612,-355888
13207,東京都 昭島市,49876,217324,-167448
13208,東京都 調布市,40336,937168,-896832
13209,東京都 町田市,221522,1120712,-899190
13210,東京都 小金井市,26717,481861,-455144
13211,東京都 小平市,5705,551558,-545853
13212,東京都 日野市,29793,491823,-462030
13213,東京都 東村山市,110168,271912,-161744
13214,東京都 国分寺市,45373,478365,-432992
13215,東京都 国立市,93348,294111,-200763
13218,東京都 福生市,1753,80770,-79017
13219,東京都 狛江市,27296,281725,-254429
13220,東京都 東大和市,24480,147961,-123481
13221,東京都 清瀬市,3161,145256,-142095
13222,東京都 東久留米市,1071,253966,-252895
13223,東京都 武蔵村山市,13930,79044,-65114
13224,東京都 多摩市,13770,384467,-370697
13225,東京都 稲城市,12035,312419,-300384
13227,東京都 羽村市,4561,83853,-79292
13228,東京都 あきる野市,11247,95571,-84324
13229,東京都 西東京市,8282,571534,-563252
13303,東京都 西多摩郡 瑞穂町,750,28092,-27342
13305,東京都 西多摩郡 日の出町,20,14151,-14131
13307,東京都 西多摩郡 檜原村,2480,792,1688
13308,東京都 西多摩郡 奥多摩町,2075,2531,-456
13361,東京都 大島支庁 大島町,2645,6874,-4229
13362,東京都 大島支庁 利島村,997,635,362
13363,東京都 大島支庁 新島村,375,2667,-2292
13364,東京都 大島支庁 神津島村,8942,1815,7127
13381,東京都 三宅支庁 三宅村,2196,3206,-1010
13382,東京都 三宅支庁 御蔵島村,180,542,-362
13401,東京都 八丈支庁 八丈町,304500,7730,296770
13402,東京都 八丈支庁 青ヶ島村,342,131,211
13421,東京都 小笠原支庁 小笠原村,10884,8216,2668
14100,神奈川県 横浜市,295476,17695500,-17400024
14130,神奈川県 川崎市,253260,8170681,-7917421
14150,神奈川県 相模原市,390853,1732384,-1341531
14201,神奈川県 横須賀市,51086,524763,-473677
14203,神奈川県 平塚市,42213,256492,-214279
14204,神奈川県 鎌倉市,1160348,750590,409758
14205,神奈川県 藤沢市,131634,1384142,-1252508
14206,神奈川県 小田原市,611026,331887,279139
14207,神奈川県 茅ヶ崎市,86997,563629,-476632
14208,神奈川県 逗子市,201352,192599,8753
14210,神奈川県 三浦市,790012,35075,754937
14211,神奈川県 秦野市,245202,222454,22748
14212,神奈川県 厚木市,1016461,439126,577335
14213,神奈川県 大和市,82981,512664,-429683
14214,神奈川県 伊勢原市,52820,176832,-124012
14215,神奈川県 海老名市,815117,323902,491215
14216,神奈川県 座間市,3771,191286,-187515
14217,神奈川県 南足柄市,2841888,52882,2789006
14218,神奈川県 綾瀬市,695434,94178,601256
14301,神奈川県 三浦郡 葉山町,62355,120980,-58625
14321,神奈川県 高座郡 寒川町,43122,55467,-12345
14341,神奈川県 中郡 大磯町,29819,74069,-44250
14342,神奈川県 中郡 二宮町,12105,46052,-33947
14361,神奈川県 足柄上郡 中井町,166673,7776,158897
14362,神奈川県 足柄上郡 大井町,32662,17413,15249
14363,神奈川県 足柄上郡 松田町,91915,15780,76135
14364,神奈川県 足柄上郡 山北町,808083,7206,800877
14366,神奈川県 足柄上郡 開成町,370771,38061,332710
14382,神奈川県 足柄下郡 箱根町,872634,9433,863201
14383,神奈川県 足柄下郡 真鶴町,11035,6830,4205
14384,神奈川県 足柄下郡 湯河原町,282514,24354,258160
14401,神奈川県 愛甲郡 愛川町,9962,25726,-15764
14402,神奈川県 愛甲郡 清川村,38283,3020,35263
15100,新潟県 新潟市,154312,1168928,-1014616
15202,新潟県 長岡市,1872178,241589,1630589
15204,新潟県 三条市,722714,77879,644835
15205,新潟県 柏崎市,350343,53609,296734
15206,新潟県 新発田市,540177,52182,487995
15208,新潟県 小千谷市,535145,18166,516979
15209,新潟県 加茂市,363253,9296,353957
15210,新潟県 十日町市,216223,20297,195926
15211,新潟県 見附市,58889,21270,37619
15212,新潟県 村上市,369168,21989,347179
15213,新潟県 燕市,4901617,53911,4847706
15216,新潟県 糸魚川市,68751,16622,52129
15217,新潟県 妙高市,92662,12543,80119
15218,新潟県 五泉市,117391,19846,97545
15222,新潟県 上越市,19632,145231,-125599
15223,新潟県 阿賀野市,247921,11959,235962
15224,新潟県 佐渡市,334921,13896,321025
15225,新潟県 魚沼市,2465259,13158,2452101
15226,新潟県 南魚沼市,3399840,22347,3377493
15227,新潟県 胎内市,1201853,12392,1189461
15307,新潟県 北蒲原郡 聖籠町,115421,7360,108061
15342,新潟県 西蒲原郡 弥彦村,439479,5480,433999
15361,新潟県 南蒲原郡 田上町,17562,4653,12909
15385,新潟県 東蒲原郡 阿賀町,296427,1816,294611
15405,新潟県 三島郡 出雲崎町,27851,1329,26522
15461,新潟県 南魚沼郡 湯沢町,489230,3632,485598
15482,新潟県 中魚沼郡 津南町,172971,1848,171123
15504,新潟県 刈羽郡 刈羽村,70,1502,-1432
15581,新潟県 岩船郡 関川村,24693,1291,23402
15586,新潟県 岩船郡 粟島浦村,18681,16,18665
16201,富山県 富山市,81185,537728,-456543
16202,富山県 高岡市,336019,168577,167442
16204,富山県 魚津市,245802,32732,213070
16205,富山県 氷見市,400745,20406,380339
16206,富山県 滑川市,26305,26147,158
16207,富山県 黒部市,48167,36726,11441
16208,富山県 砺波市,18200,40557,-22357
16209,富山県 小矢部市,38332,19541,18791
16210,富山県 南砺市,51739,24778,26961
16211,富山県 射水市,214445,85635,128810
16321,富山県 中新川郡 舟橋村,21818,4449,17369
16322,富山県 中新川郡 上市町,28252,10110,18142
16323,富山県 中新川郡 立山町,91119,15491,75628
16342,富山県 下新川郡 入善町,11515,11220,295
16343,富山県 下新川郡 朝日町,84456,3767,80689
17201,石川県 金沢市,323970,923678,-599708
17202,石川県 七尾市,386904,31969,354935
17203,石川県 小松市,307972,120221,187751
17204,石川県 輪島市,414972,6861,408111
17205,石川県 珠洲市,126673,2963,123710
17206,石川県 加賀市,263420,55505,207915
17207,石川県 羽咋市,377835,14727,363108
17209,石川県 かほく市,356483,32689,323794
17210,石川県 白山市,129628,139292,-9664
17211,石川県 能美市,61539,47855,13684
17212,石川県 野々市市,11178,83412,-72234
17324,石川県 能美郡 川北町,6333,5643,690
17361,石川県 河北郡 津幡町,24918,41235,-16317
17365,石川県 河北郡 内灘町,16817,34035,-17218
17384,石川県 羽咋郡 志賀町,135004,7789,127215
17386,石川県 羽咋郡 宝達志水町,52753,6908,45845
17407,石川県 鹿島郡 中能登町,13327,8398,4929
17461,石川県 鳳珠郡 穴水町,69023,2360,66663
17463,石川県 鳳珠郡 能登町,167738,4472,163266
18201,福井県 福井市,327801,394526,-66725
18202,福井県 敦賀市,3420943,75008,3345935
18204,福井県 小浜市,233511,24676,208835
18205,福井県 大野市,72699,13187,59512
18206,福井県 勝山市,87795,13454,74341
18207,福井県 鯖江市,263611,70792,192819
18208,福井県 あわら市,109838,20090,89748
18209,福井県 越前市,444368,63321,381047
18210,福井県 坂井市,1291662,81940,1209722
18322,福井県 吉田郡 永平寺町,15783,14878,905
18382,福井県 今立郡 池田町,1205,1094,111
18404,福井県 南条郡 南越前町,54277,4434,49843
18423,福井県 丹生郡 越前町,158831,8748,150083
18442,福井県 三方郡 美浜町,183781,8047,175734
18481,福井県 大飯郡 高浜町,58124,8820,49304
18483,福井県 大飯郡 おおい町,18692,6301,12391
18501,福井県 三方上中郡 若狭町,153846,5831,148015
19201,山梨県 甲府市,1281328,307004,974324
19202,山梨県 富士吉田市,5831248,63278,5767970
19204,山梨県 都留市,1236599,21343,1215256
19205,山梨県 山梨市,1682187,28781,1653406
19206,山梨県 大月市,766940,14245,752695
19207,山梨県 韮崎市,306109,25854,280255
19208,山梨県 南アルプス市,1263695,57324,1206371
19209,山梨県 北杜市,523524,34747,488777
19210,山梨県 甲斐市,755688,101429,654259
19211,山梨県 笛吹市,1416063,54597,1361466
19212,山梨県 上野原市,36739,19811,16928
19213,山梨県 甲州市,1190236,22098,1168138
19214,山梨県 中央市,218985,51986,166999
19346,山梨県 西八代郡 市川三郷町,395362,8413,386949
19364,山梨県 南巨摩郡 早川町,9342,103,9239
19365,山梨県 南巨摩郡 身延町,28532,5205,23327
19366,山梨県 南巨摩郡 南部町,3182,2456,726
19368,山梨県 南巨摩郡 富士川町,106718,11165,95553
19384,山梨県 中巨摩郡 昭和町,28965,46967,-18002
19422,山梨県 南都留郡 道志村,45759,889,44870
19423,山梨県 南都留郡 西桂町,13728,2004,11724
19424,山梨県 南都留郡 忍野村,129913,77643,52270
19425,山梨県 南都留郡 山中湖村,254538,10263,244275
19429,山梨県 南都留郡 鳴沢村,11962,4063,7899
19430,山梨県 南都留郡 富士河口湖町,653707,46989,606718
19442,山梨県 北都留郡 小菅村,3971,125,3846
19443,山梨県 北都留郡 丹波山村,64891,111,64780
20201,長野県 長野市,947258,460546,486712
20202,長野県 松本市,192341,403440,-211099
20203,長野県 上田市,465187,138879,326308
20204,長野県 岡谷市,98885,40894,57991
20205,長野県 飯田市,341193,86802,254391
20206,長野県 諏訪市,164315,70628,93687
20207,長野県 須坂市,1470702,36514,1434188
20208,長野県 小諸市,392034,27252,364782
20209,長野県 伊那市,1855105,60544,1794561
20210,長野県 駒ヶ根市,536802,31969,504833
20211,長野県 中野市,574325,28158,546167
20212,長野県 大町市,118700,11488,107212
20213,長野県 飯山市,1526248,8172,1518076
20214,長野県 茅野市,121449,54263,67186
20215,長野県 塩尻市,412970,76385,336585
20217,長野県 佐久市,857073,95792,761281
20218,長野県 千曲市,210654,34335,176319
20219,長野県 東御市,500687,27622,473065
20220,長野県 安曇野市,1070247,89428,980819
20303,長野県 南佐久郡 小海町,14010,1305,12705
20304,長野県 南佐久郡 川上村,5603,1286,4317
20305,長野県 南佐久郡 南牧村,38812,2264,36548
20306,長野県 南佐久郡 南相木村,1200,190,1010
20307,長野県 南佐久郡 北相木村,497,64,433
20309,長野県 南佐久郡 佐久穂町,16946,4406,12540
20321,長野県 北佐久郡 軽井沢町,378706,64436,314270
20323,長野県 北佐久郡 御代田町,233131,12818,220313
20324,長野県 北佐久郡 立科町,43272,2804,40468
20349,長野県 小県郡 青木村,11170,1532,9638
20350,長野県 小県郡 長和町,26216,2729,23487
20361,長野県 諏訪郡 下諏訪町,22598,21548,1050
20362,長野県 諏訪郡 富士見町,236824,10399,226425
20363,長野県 諏訪郡 原村,12648,8473,4175
20382,長野県 上伊那郡 辰野町,79115,10523,68592
20383,長野県 上伊那郡 箕輪町,47659,22098,25561
20384,長野県 上伊那郡 飯島町,45507,4192,41315
20385,長野県 上伊那郡 南箕輪村,152770,14231,138539
20386,長野県 上伊那郡 中川村,17270,1277,15993
20388,長野県 上伊那郡 宮田村,196777,6650,190127
20402,長野県 下伊那郡 松川町,137983,7356,130627
20403,長野県 下伊那郡 高森町,260858,5407,255451
20404,長野県 下伊那郡 阿南町,165360,1440,163920
20407,長野県 下伊那郡 阿智村,30915,1808,29107
20409,長野県 下伊那郡 平谷村,21138,0,21138
20410,長野県 下伊那郡 根羽村,209152,182,208970
20411,長野県 下伊那郡 下條村,11294,1388,9906
20412,長野県 下伊那郡 売木村,4106,103,4003
20413,長野県 下伊那郡 天龍村,18121,221,17900
20414,長野県 下伊那郡 泰阜村,3135,169,2966
20415,長野県 下伊那郡 喬木村,194076,2634,191442
20416,長野県 下伊那郡 豊丘村,826812,1560,825252
20417,長野県 下伊那郡 大鹿村,4980,159,4821
20422,長野県 木曽郡 上松町,13450,1444,12006
20423,長野県 木曽郡 南木曽町,29422,1649,27773
20425,長野県 木曽郡 木祖村,23911,513,23398
20429,長野県 木曽郡 王滝村,16930,208,16722
20430,長野県 木曽郡 大桑村,680,577,103
20432,長野県 木曽郡 木曽町,17395,4342,13053
20446,長野県 東筑摩郡 麻績村,55315,856,54459
20448,長野県 東筑摩郡 生坂村,134356,323,134033
20450,長野県 東筑摩郡 山形村,10919,12977,-2058
20451,長野県 東筑摩郡 朝日村,6822,1970,4852
20452,長野県 東筑摩郡 筑北村,18167,1320,16847
20481,長野県 北安曇郡 池田町,72458,4191,68267
20482,長野県 北安曇郡 松川村,50390,5472,44918
20485,長野県 北安曇郡 白馬村,396968,5073,391895
20486,長野県 北安曇郡 小谷村,315481,408,315073
20521,長野県 埴科郡 坂城町,189261,8649,180612
20541,長野県 上高井郡 小布施町,687704,7428,680276
20543,長野県 上高井郡 高山村,31392,1991,29401
20561,長野県 下高井郡 山ノ内町,308268,3488,304780
20562,長野県 下高井郡 木島平村,69307,985,68322
20563,長野県 下高井郡 野沢温泉村,110909,1817,109092
20583,長野県 上水内郡 信濃町,11753,2164,9589
20588,長野県 上水内郡 小川村,22789,481,22308
20590,長野県 上水内郡 飯綱町,342046,4870,337176
20602,長野県 下水内郡 栄村,29185,240,28945
21201,岐阜県 岐阜市,52544,991170,-938626
21202,岐阜県 大垣市,811250,308377,502873
21203,岐阜県 高山市,834463,66944,767519
21204,岐阜県 多治見市,50133,189228,-139095
21205,岐阜県 関市,4892154,120142,4772012
21206,岐阜県 中津川市,463575,75726,387849
21207,岐阜県 美濃市,32340,19695,12645
21208,岐阜県 瑞浪市,104471,36278,68193
21209,岐阜県 羽島市,73422,105971,-32549
21210,岐阜県 恵那市,93836,41788,52048
21211,岐阜県 美濃加茂市,558088,77318,480770
21212,岐阜県 土岐市,35864,62057,-26193
21213,岐阜県 各務原市,451732,284708,167024
21214,岐阜県 可児市,352908,161743,191165
21215,岐阜県 山県市,467422,25604,441818
21216,岐阜県 瑞穂市,540551,107157,433394
21217,岐阜県 飛騨市,1547623,11863,1535760
21218,岐阜県 本巣市,550991,42777,508214
21219,岐阜県 郡上市,166342,23031,143311
21220,岐阜県 下呂市,390115,20697,369418
21221,岐阜県 海津市,74985,29402,45583
21302,岐阜県 羽島郡 岐南町,128837,55123,73714
21303,岐阜県 羽島郡 笠松町,64841,42537,22304
21341,岐阜県 養老郡 養老町,987741,24401,963340
21361,岐阜県 不破郡 垂井町,43726,24092,19634
21362,岐阜県 不破郡 関ケ原町,93715,5244,88471
21381,岐阜県 安八郡 神戸町,73690,20844,52846
21382,岐阜県 安八郡 輪之内町,6704,8738,-2034
21383,岐阜県 安八郡 安八町,22974,16457,6517
21401,岐阜県 揖斐郡 揖斐川町,48995,17935,31060
21403,岐阜県 揖斐郡 大野町,37821,24288,13533
21404,岐阜県 揖斐郡 池田町,417526,30912,386614
21421,岐阜県 本巣郡 北方町,13577,32655,-19078
21501,岐阜県 加茂郡 坂祝町,6804,6543,261
21502,岐阜県 加茂郡 富加町,53626,6968,46658
21503,岐阜県 加茂郡 川辺町,274524,8804,265720
21504,岐阜県 加茂郡 七宗町,111302,1560,109742
21505,岐阜県 加茂郡 八百津町,310400,11358,299042
21506,岐阜県 加茂郡 白川町,34615,2795,31820
21507,岐阜県 加茂郡 東白川村,25669,603,25066
21521,岐阜県 可児郡 御嵩町,98137,19812,78325
21604,岐阜県 大野郡 白川村,74458,282,74176
22100,静岡県 静岡市,508787,1430633,-921846
22130,静岡県 浜松市,1887549,1860590,26959
22203,静岡県 沼津市,491687,260334,231353
22205,静岡県 熱海市,383788,55746,328042
22206,静岡県 三島市,143412,237495,-94083
22207,静岡県 富士宮市,1611852,123624,1488228
22208,静岡県 伊東市,247184,48304,198880
22209,静岡県 島田市,187528,90985,96543
22210,静岡県 富士市,744059,294643,449416
22211,静岡県 磐田市,814560,237226,577334
22212,静岡県 焼津市,5218275,168773,5049502
22213,静岡県 掛川市,954143,145711,808432
22214,静岡県 藤枝市,550105,207369,342736
22215,静岡県 御殿場市,1192459,114655,1077804
22216,静岡県 袋井市,673868,97594,576274
22219,静岡県 下田市,202532,17480,185052
22220,静岡県 裾野市,120292,80515,39777
22221,静岡県 湖西市,266704,70988,195716
22222,静岡県 伊豆市,576071,9591,566480
22223,静岡県 御前崎市,40165,26517,13648
22224,静岡県 菊川市,93311,43821,49490
22225,静岡県 伊豆の国市,348164,47767,300397
22226,静岡県 牧之原市,307547,32540,275007
22301,静岡県 賀茂郡 東伊豆町,162017,4336,157681
22302,静岡県 賀茂郡 河津町,129504,3845,125659
22304,静岡県 賀茂郡 南伊豆町,165779,2736,163043
22305,静岡県 賀茂郡 松崎町,37548,2718,34830
22306,静岡県 賀茂郡 西伊豆町,1581021,5291,1575730
22325,静岡県 田方郡 函南町,32720,34988,-2268
22341,静岡県 駿東郡 清水町,4699,48001,-43302
22342,静岡県 駿東郡 長泉町,1025,134092,-133067
22344,静岡県 駿東郡 小山町,319064,17560,301504
22424,静岡県 榛原郡 吉田町,706450,27572,678878
22429,静岡県 榛原郡 川根本町,22882,1616,21266
22461,静岡県 周智郡 森町,396786,9689,387097
23100,愛知県 名古屋市,735294,10649079,-9913785
23201,愛知県 豊橋市,69130,646350,-577220
23202,愛知県 岡崎市,121692,975358,-853666
23203,愛知県 一宮市,159368,789077,-629709
23204,愛知県 瀬戸市,37302,238106,-200804
23205,愛知県 半田市,36156,234148,-197992
23206,愛知県 春日井市,363751,754882,-391131
23207,愛知県 豊川市,57244,263313,-206069
23208,愛知県 津島市,273669,89575,184094
23209,愛知県 碧南市,2965094,146851,2818243
23210,愛知県 刈谷市,3505,502262,-498757
23211,愛知県 豊田市,117383,1072646,-955263
23212,愛知県 安城市,93224,493747,-400523
23213,愛知県 西尾市,597358,292402,304956
23214,愛知県 蒲郡市,421880,127729,294151
23215,愛知県 犬山市,770866,147103,623763
23216,愛知県 常滑市,41215,98573,-57358
23217,愛知県 江南市,16832,173993,-157161
23219,愛知県 小牧市,1056215,312434,743781
23220,愛知県 稲沢市,113107,278781,-165674
23221,愛知県 新城市,22606,34485,-11879
23222,愛知県 東海市,9525,236244,-226719
23223,愛知県 大府市,1700535,294037,1406498
23224,愛知県 知多市,102213,148138,-45925
23225,愛知県 知立市,70574,195347,-124773
23226,愛知県 尾張旭市,11047,199264,-188217
23227,愛知県 高浜市,75476,82218,-6742
23228,愛知県 岩倉市,104440,106385,-1945
23229,愛知県 豊明市,25829,147897,-122068
23230,愛知県 日進市,94307,367305,-272998
23231,愛知県 田原市,113258,59354,53904
23232,愛知県 愛西市,35819,87107,-51288
23233,愛知県 清須市,63993,163329,-99336
23234,愛知県 北名古屋市,81271,187758,-106487
23235,愛知県 弥富市,3628,78723,-75095
23236,愛知県 みよし市,28630,237704,-209074
23237,愛知県 あま市,32413,143895,-111482
23238,愛知県 長久手市,19218,282079,-262861
23302,愛知県 愛知郡 東郷町,155441,97021,58420
23342,愛知県 西春日井郡 豊山町,21277,25837,-4560
23361,愛知県 丹羽郡 大口町,38777,50627,-11850
23362,愛知県 丹羽郡 扶桑町,2276,68722,-66446
23424,愛知県 海部郡 大治町,150,46717,-46567
23425,愛知県 海部郡 蟹江町,4922,85272,-80350
23427,愛知県 海部郡 飛島村,20,6221,-6201
23441,愛知県 知多郡 阿久比町,14598,56190,-41592
23442,愛知県 知多郡 東浦町,618151,117663,500488
23445,愛知県 知多郡 南知多町,137218,14910,122308
23446,愛知県 知多郡 美浜町,131808,28682,103126
23447,愛知県 知多郡 武豊町,24822,66619,-41797
23501,愛知県 額田郡 幸田町,2707532,91973,2615559
23561,愛知県 北設楽郡 設楽町,14918,2589,12329
23562,愛知県 北設楽郡 東栄町,6424,663,5761
23563,愛知県 北設楽郡 豊根村,4380,86,4294
24201,三重県 津市,177531,491918,-314387
24202,三重県 四日市市,49298,639348,-590050
24203,三重県 伊勢市,419005,177775,241230
24204,三重県 松阪市,1287286,241188,1046098
24205,三重県 桑名市,681671,345893,335778
24207,三重県 鈴鹿市,205582,332942,-127360
24208,三重県 名張市,134821,99064,35757
24209,三重県 尾鷲市,403288,12217,391071
24210,三重県 亀山市,3040,56950,-53910
24211,三重県 鳥羽市,575259,10403,564856
24212,三重県 熊野市,224291,9088,215203
24214,三重県 いなべ市,25687,52339,-26652
24215,三重県 志摩市,448421,36533,411888
24216,三重県 伊賀市,629397,90479,538918
24303,三重県 桑名郡 木曽岬町,103806,5153,98653
24324,三重県 員弁郡 東員町,1040,37544,-36504
24341,三重県 三重郡 菰野町,11440,60037,-48597
24343,三重県 三重郡 朝日町,3885,28823,-24938
24344,三重県 三重郡 川越町,1182,29038,-27856
24441,三重県 多気郡 多気町,962985,10579,952406
24442,三重県 多気郡 明和町,1502442,23255,1479187
24443,三重県 多気郡 大台町,68119,7562,60557
24461,三重県 度会郡 玉城町,111737,15057,96680
24470,三重県 度会郡 度会町,15321,5160,10161
24471,三重県 度会郡 大紀町,74039,2807,71232
24472,三重県 度会郡 南伊勢町,93718,7620,86098
24543,三重県 北牟婁郡 紀北町,101457,4346,97111
24561,三重県 南牟婁郡 御浜町,106992,7859,99133
24562,三重県 南牟婁郡 紀宝町,33222,5543,27679
25201,滋賀県 大津市,130802,898896,-768094
25202,滋賀県 彦根市,200442,187097,13345
25203,滋賀県 長浜市,89227,140895,-51668
25204,滋賀県 近江八幡市,3852738,137049,3715689
25206,滋賀県 草津市,317469,406485,-89016
25207,滋賀県 守山市,140833,194778,-53945
25208,滋賀県 栗東市,55879,172216,-116337
25209,滋賀県 甲賀市,354185,94819,259366
25210,滋賀県 野洲市,1050,109954,-108904
25211,滋賀県 湖南市,116538,64090,52448
25212,滋賀県 高島市,634192,38817,595375
25213,滋賀県 東近江市,571811,130240,441571
25214,滋賀県 米原市,394268,42609,351659
25383,滋賀県 蒲生郡 日野町,9516,18665,-9149
25384,滋賀県 蒲生郡 竜王町,199803,14615,185188
25425,滋賀県 愛知郡 愛荘町,70972,21401,49571
25441,滋賀県 犬上郡 豊郷町,395674,4616,391058
25442,滋賀県 犬上郡 甲良町,53667,5259,48408
25443,滋賀県 犬上郡 多賀町,8975,9391,-416
26100,京都府 京都市,1762432,4977034,-3214602
26201,京都府 福知山市,261634,73366,188268
26202,京都府 舞鶴市,65406,73123,-7717
