移動前,移動後,性別,人数
大分県,茨城県,総数,5
茨城県,大分県,男,8
大分県,茨城県,女,13
茨城県,宮崎県,総数,61
宮崎県,茨城県,男,2
茨城県,宮崎県,女,63
茨城県,鹿児島県,総数,20
茨城県,鹿児島県,男,11
茨城県,鹿児島県,女,9
沖縄県,茨城県,総数,29
沖縄県,茨城県,男,38
茨城県,沖縄県,女,9
栃木県,群馬県,総数,106
栃木県,群馬県,男,79
栃木県,群馬県,女,27
栃木県,埼玉県,総数,958
栃木県,埼玉県,男,418
栃木県,埼玉県,女,540
千葉県,栃木県,総数,436
千葉県,栃木県,男,320
千葉県,栃木県,女,116
栃木県,東京都,総数,1143
栃木県,東京都,男,397
栃木県,東京都,女,746
栃木県,神奈川県,総数,469
栃木県,神奈川県,男,181
栃木県,神奈川県,女,288
新潟県,栃木県,総数,68
新潟県,栃木県,男,28
新潟県,栃木県,女,40
富山県,栃木県,総数,13
富山県,栃木県,男,2
富山県,栃木県,女,11
栃木県,石川県,総数,26
栃木県,石川県,男,38
石川県,栃木県,女,12
福井県,栃木県,総数,56
福井県,栃木県,男,27
福井県,栃木県,女,29
山梨県,栃木県,総数,54
山梨県,栃木県,男,42
山梨県,栃木県,女,12
栃木県,長野県,総数,29
栃木県,長野県,男,30
長野県,栃木県,女,1
岐阜県,栃木県,総数,34
岐阜県,栃木県,男,11
岐阜県,栃木県,女,23
静岡県,栃木県,総数,95
静岡県,栃木県,男,86
静岡県,栃木県,女,9
愛知県,栃木県,総数,42
愛知県,栃木県,男,65
栃木県,愛知県,女,23
三重県,栃木県,総数,40
三重県,栃木県,男,40
栃木県,三重県,女,0
栃木県,滋賀県,総数,7
栃木県,滋賀県,男,7
栃木県,滋賀県,女,0
栃木県,京都府,総数,16
栃木県,京都府,男,3
栃木県,京都府,女,13
栃木県,大阪府,総数,59
栃木県,大阪府,男,35
栃木県,大阪府,女,24
兵庫県,栃木県,総数,61
兵庫県,栃木県,男,28
兵庫県,栃木県,女,33
奈良県,栃木県,総数,2
栃木県,奈良県,男,1
奈良県,栃木県,女,3
栃木県,和歌山県,総数,0
栃木県,和歌山県,男,4
和歌山県,栃木県,女,4
鳥取県,栃木県,総数,35
鳥取県,栃木県,男,12
鳥取県,栃木県,女,23
島根県,栃木県,総数,24
島根県,栃木県,男,13
島根県,栃木県,女,11
岡山県,栃木県,総数,98
岡山県,栃木県,男,29
岡山県,栃木県,女,69
広島県,栃木県,総数,101
広島県,栃木県,男,44
広島県,栃木県,女,57
栃木県,山口県,総数,3
栃木県,山口県,男,5
山口県,栃木県,女,2
徳島県,栃木県,総数,10
徳島県,栃木県,男,7
徳島県,栃木県,女,3
香川県,栃木県,総数,12
香川県,栃木県,男,4
香川県,栃木県,女,8
愛媛県,栃木県,総数,23
愛媛県,栃木県,男,7
愛媛県,栃木県,女,16
高知県,栃木県,総数,2
栃木県,高知県,男,6
高知県,栃木県,女,8
福岡県,栃木県,総数,106
福岡県,栃木県,男,27
福岡県,栃木県,女,79
佐賀県,栃木県,総数,14
佐賀県,栃木県,男,8
佐賀県,栃木県,女,6
長崎県,栃木県,総数,36
長崎県,栃木県,男,20
長崎県,栃木県,女,16
栃木県,熊本県,総数,11
栃木県,熊本県,男,26
熊本県,栃木県,女,15
大分県,栃木県,総数,49
大分県,栃木県,男,22
大分県,栃木県,女,27
宮崎県,栃木県,総数,32
宮崎県,栃木県,男,11
宮崎県,栃木県,女,21
鹿児島県,栃木県,総数,12
栃木県,鹿児島県,男,8
鹿児島県,栃木県,女,20
沖縄県,栃木県,総数,15
沖縄県,栃木県,男,19
栃木県,沖縄県,女,4
群馬県,埼玉県,総数,904
群馬県,埼玉県,男,148
群馬県,埼玉県,女,756
千葉県,群馬県,総数,313
千葉県,群馬県,男,282
千葉県,群馬県,女,31
群馬県,東京都,総数,957
群馬県,東京都,男,216
群馬県,東京都,女,741
群馬県,神奈川県,総数,460
群馬県,神奈川県,男,213
群馬県,神奈川県,女,247
新潟県,群馬県,総数,138
新潟県,群馬県,男,81
新潟県,群馬県,女,57
富山県,群馬県,総数,8
群馬県,富山県,男,17
富山県,群馬県,女,25
群馬県,石川県,総数,56
群馬県,石川県,男,30
群馬県,石川県,女,26
福井県,群馬県,総数,41
福井県,群馬県,男,23
福井県,群馬県,女,18
群馬県,山梨県,総数,2
群馬県,山梨県,男,3
山梨県,群馬県,女,1
長野県,群馬県,総数,123
長野県,群馬県,男,18
長野県,群馬県,女,105
岐阜県,群馬県,総数,134
岐阜県,群馬県,男,85
岐阜県,群馬県,女,49
静岡県,群馬県,総数,65
静岡県,群馬県,男,44
静岡県,群馬県,女,21
愛知県,群馬県,総数,28
愛知県,群馬県,男,43
群馬県,愛知県,女,15
群馬県,三重県,総数,13
群馬県,三重県,男,13
群馬県,三重県,女,0
群馬県,滋賀県,総数,52
群馬県,滋賀県,男,48
群馬県,滋賀県,女,4
群馬県,京都府,総数,46
群馬県,京都府,男,11
群馬県,京都府,女,35
群馬県,大阪府,総数,113
群馬県,大阪府,男,8
群馬県,大阪府,女,105
兵庫県,群馬県,総数,45
兵庫県,群馬県,男,37
兵庫県,群馬県,女,8
群馬県,奈良県,総数,9
奈良県,群馬県,男,3
群馬県,奈良県,女,12
和歌山県,群馬県,総数,9
和歌山県,群馬県,男,6
和歌山県,群馬県,女,3
鳥取県,群馬県,総数,32
鳥取県,群馬県,男,21
鳥取県,群馬県,女,11
島根県,群馬県,総数,31
島根県,群馬県,男,16
島根県,群馬県,女,15
岡山県,群馬県,総数,54
岡山県,群馬県,男,42
岡山県,群馬県,女,12
広島県,群馬県,総数,103
広島県,群馬県,男,46
広島県,群馬県,女,57
山口県,群馬県,総数,58
山口県,群馬県,男,38
山口県,群馬県,女,20
徳島県,群馬県,総数,40
徳島県,群馬県,男,28
徳島県,群馬県,女,12
香川県,群馬県,総数,14
香川県,群馬県,男,14
群馬県,香川県,女,0
愛媛県,群馬県,総数,23
愛媛県,群馬県,男,15
愛媛県,群馬県,女,8
高知県,群馬県,総数,11
高知県,群馬県,男,1
高知県,群馬県,女,10
福岡県,群馬県,総数,91
福岡県,群馬県,男,32
福岡県,群馬県,女,59
佐賀県,群馬県,総数,24
佐賀県,群馬県,男,14
佐賀県,群馬県,女,10
群馬県,長崎県,総数,5
群馬県,長崎県,男,12
長崎県,群馬県,女,7
熊本県,群馬県,総数,63
熊本県,群馬県,男,43
熊本県,群馬県,女,20
群馬県,大分県,総数,65
群馬県,大分県,男,65
群馬県,大分県,女,0
宮崎県,群馬県,総数,43
宮崎県,群馬県,男,15
宮崎県,群馬県,女,28
鹿児島県,群馬県,総数,83
鹿児島県,群馬県,男,44
鹿児島県,群馬県,女,39
沖縄県,群馬県,総数,67
沖縄県,群馬県,男,37
沖縄県,群馬県,女,30
千葉県,埼玉県,総数,817
千葉県,埼玉県,男,798
千葉県,埼玉県,女,19
東京都,埼玉県,総数,12458
東京都,埼玉県,男,7646
東京都,埼玉県,女,4812
埼玉県,神奈川県,総数,667
埼玉県,神奈川県,男,364
埼玉県,神奈川県,女,303
新潟県,埼玉県,総数,1085
新潟県,埼玉県,男,452
新潟県,埼玉県,女,633
富山県,埼玉県,総数,118
富山県,埼玉県,男,30
富山県,埼玉県,女,88
石川県,埼玉県,総数,190
石川県,埼玉県,男,69
石川県,埼玉県,女,121
福井県,埼玉県,総数,86
福井県,埼玉県,男,35
福井県,埼玉県,女,51
埼玉県,山梨県,総数,6
埼玉県,山梨県,男,21
山梨県,埼玉県,女,15
長野県,埼玉県,総数,105
埼玉県,長野県,男,24
長野県,埼玉県,女,129
岐阜県,埼玉県,総数,364
岐阜県,埼玉県,男,197
岐阜県,埼玉県,女,167
静岡県,埼玉県,総数,267
静岡県,埼玉県,男,79
静岡県,埼玉県,女,188
愛知県,埼玉県,総数,1026
愛知県,埼玉県,男,525
愛知県,埼玉県,女,501
三重県,埼玉県,総数,206
三重県,埼玉県,男,86
三重県,埼玉県,女,120
滋賀県,埼玉県,総数,21
滋賀県,埼玉県,男,14
滋賀県,埼玉県,女,7
京都府,埼玉県,総数,87
京都府,埼玉県,男,70
京都府,埼玉県,女,17
大阪府,埼玉県,総数,691
大阪府,埼玉県,男,226
大阪府,埼玉県,女,465
兵庫県,埼玉県,総数,716
兵庫県,埼玉県,男,372
兵庫県,埼玉県,女,344
奈良県,埼玉県,総数,83
奈良県,埼玉県,男,57
奈良県,埼玉県,女,26
和歌山県,埼玉県,総数,22
和歌山県,埼玉県,男,3
和歌山県,埼玉県,女,19
鳥取県,埼玉県,総数,65
鳥取県,埼玉県,男,6
鳥取県,埼玉県,女,59
島根県,埼玉県,総数,18
埼玉県,島根県,男,13
島根県,埼玉県,女,31
岡山県,埼玉県,総数,302
岡山県,埼玉県,男,128
岡山県,埼玉県,女,174
広島県,埼玉県,総数,392
広島県,埼玉県,男,196
広島県,埼玉県,女,196
山口県,埼玉県,総数,133
山口県,埼玉県,男,13
山口県,埼玉県,女,120
徳島県,埼玉県,総数,82
徳島県,埼玉県,男,21
徳島県,埼玉県,女,61
香川県,埼玉県,総数,141
香川県,埼玉県,男,104
香川県,埼玉県,女,37
愛媛県,埼玉県,総数,185
愛媛県,埼玉県,男,122
愛媛県,埼玉県,女,63
高知県,埼玉県,総数,38
高知県,埼玉県,男,16
高知県,埼玉県,女,22
福岡県,埼玉県,総数,155
福岡県,埼玉県,男,17
福岡県,埼玉県,女,138
佐賀県,埼玉県,総数,16
佐賀県,埼玉県,男,17
埼玉県,佐賀県,女,1
長崎県,埼玉県,総数,143
長崎県,埼玉県,男,39
長崎県,埼玉県,女,104
熊本県,埼玉県,総数,10
熊本県,埼玉県,男,14
埼玉県,熊本県,女,4
大分県,埼玉県,総数,71
埼玉県,大分県,男,12
大分県,埼玉県,女,83
宮崎県,埼玉県,総数,73
宮崎県,埼玉県,男,8
宮崎県,埼玉県,女,65
鹿児島県,埼玉県,総数,27
埼玉県,鹿児島県,男,24
鹿児島県,埼玉県,女,51
沖縄県,埼玉県,総数,212
沖縄県,埼玉県,男,86
沖縄県,埼玉県,女,126
東京都,千葉県,総数,5683
東京都,千葉県,男,3489
東京都,千葉県,女,2194
千葉県,神奈川県,総数,942
千葉県,神奈川県,男,912
千葉県,神奈川県,女,30
新潟県,千葉県,総数,471
新潟県,千葉県,男,125
新潟県,千葉県,女,346
富山県,千葉県,総数,100
富山県,千葉県,男,38
富山県,千葉県,女,62
石川県,千葉県,総数,175
石川県,千葉県,男,97
石川県,千葉県,女,78
福井県,千葉県,総数,109
福井県,千葉県,男,39
福井県,千葉県,女,70
千葉県,山梨県,総数,245
千葉県,山梨県,男,158
千葉県,山梨県,女,87
千葉県,長野県,総数,88
千葉県,長野県,男,41
千葉県,長野県,女,47
岐阜県,千葉県,総数,130
岐阜県,千葉県,男,72
岐阜県,千葉県,女,58
静岡県,千葉県,総数,4
千葉県,静岡県,男,18
静岡県,千葉県,女,22
愛知県,千葉県,総数,578
愛知県,千葉県,男,115
愛知県,千葉県,女,463
三重県,千葉県,総数,87
三重県,千葉県,男,6
三重県,千葉県,女,81
滋賀県,千葉県,総数,107
滋賀県,千葉県,男,48
滋賀県,千葉県,女,59
京都府,千葉県,総数,169
京都府,千葉県,男,123
京都府,千葉県,女,46
大阪府,千葉県,総数,812
大阪府,千葉県,男,282
大阪府,千葉県,女,530
兵庫県,千葉県,総数,715
兵庫県,千葉県,男,362
兵庫県,千葉県,女,353
奈良県,千葉県,総数,67
奈良県,千葉県,男,50
奈良県,千葉県,女,17
和歌山県,千葉県,総数,57
和歌山県,千葉県,男,42
和歌山県,千葉県,女,15
鳥取県,千葉県,総数,62
鳥取県,千葉県,男,34
鳥取県,千葉県,女,28
島根県,千葉県,総数,7
千葉県,島根県,男,15
島根県,千葉県,女,22
岡山県,千葉県,総数,254
岡山県,千葉県,男,85
岡山県,千葉県,女,169
広島県,千葉県,総数,427
広島県,千葉県,男,207
広島県,千葉県,女,220
山口県,千葉県,総数,116
山口県,千葉県,男,54
山口県,千葉県,女,62
徳島県,千葉県,総数,145
徳島県,千葉県,男,94
徳島県,千葉県,女,51
香川県,千葉県,総数,10
香川県,千葉県,男,21
千葉県,香川県,女,11
愛媛県,千葉県,総数,186
愛媛県,千葉県,男,108
愛媛県,千葉県,女,78
高知県,千葉県,総数,12
千葉県,高知県,男,22
高知県,千葉県,女,34
福岡県,千葉県,総数,436
福岡県,千葉県,男,182
福岡県,千葉県,女,254
佐賀県,千葉県,総数,40
佐賀県,千葉県,男,16
佐賀県,千葉県,女,24
長崎県,千葉県,総数,152
長崎県,千葉県,男,99
長崎県,千葉県,女,53
千葉県,熊本県,総数,6
千葉県,熊本県,男,42
熊本県,千葉県,女,36
大分県,千葉県,総数,40
大分県,千葉県,男,4
大分県,千葉県,女,36
千葉県,宮崎県,総数,23
宮崎県,千葉県,男,4
千葉県,宮崎県,女,27
鹿児島県,千葉県,総数,35
千葉県,鹿児島県,男,33
鹿児島県,千葉県,女,68
沖縄県,千葉県,総数,162
沖縄県,千葉県,男,100
沖縄県,千葉県,女,62
東京都,神奈川県,総数,6658
東京都,神奈川県,男,3446
東京都,神奈川県,女,3212
新潟県,東京都,総数,2267
新潟県,東京都,男,911
新潟県,東京都,女,1356
富山県,東京都,総数,819
富山県,東京都,男,337
富山県,東京都,女,482
石川県,東京都,総数,1053
石川県,東京都,男,527
石川県,東京都,女,526
福井県,東京都,総数,717
福井県,東京都,男,349
福井県,東京都,女,368
山梨県,東京都,総数,479
山梨県,東京都,男,94
山梨県,東京都,女,385
長野県,東京都,総数,26
東京都,長野県,男,22
長野県,東京都,女,48
岐阜県,東京都,総数,1395
岐阜県,東京都,男,699
岐阜県,東京都,女,696
静岡県,東京都,総数,2889
静岡県,東京都,男,1378
静岡県,東京都,女,1511
愛知県,東京都,総数,7088
愛知県,東京都,男,3770
愛知県,東京都,女,3318
三重県,東京都,総数,1101
三重県,東京都,男,564
三重県,東京都,女,537
滋賀県,東京都,総数,849
滋賀県,東京都,男,487
滋賀県,東京都,女,362
京都府,東京都,総数,1515
京都府,東京都,男,758
京都府,東京都,女,757
大阪府,東京都,総数,7302
大阪府,東京都,男,3872
大阪府,東京都,女,3430
兵庫県,東京都,総数,3963
兵庫県,東京都,男,2108
兵庫県,東京都,女,1855
奈良県,東京都,総数,774
奈良県,東京都,男,435
奈良県,東京都,女,339
和歌山県,東京都,総数,452
和歌山県,東京都,男,260
和歌山県,東京都,女,192
鳥取県,東京都,総数,387
鳥取県,東京都,男,191
鳥取県,東京都,女,196
島根県,東京都,総数,198
島根県,東京都,男,69
島根県,東京都,女,129
岡山県,東京都,総数,1524
岡山県,東京都,男,760
岡山県,東京都,女,764
広島県,東京都,総数,2676
広島県,東京都,男,1366
広島県,東京都,女,1310
山口県,東京都,総数,820
山口県,東京都,男,373
山口県,東京都,女,447
徳島県,東京都,総数,419
徳島県,東京都,男,184
徳島県,東京都,女,235
香川県,東京都,総数,726
香川県,東京都,男,378
香川県,東京都,女,348
愛媛県,東京都,総数,906
愛媛県,東京都,男,391
愛媛県,東京都,女,515
高知県,東京都,総数,392
高知県,東京都,男,214
高知県,東京都,女,178
福岡県,東京都,総数,3395
福岡県,東京都,男,1451
福岡県,東京都,女,1944
佐賀県,東京都,総数,335
佐賀県,東京都,男,163
佐賀県,東京都,女,172
長崎県,東京都,総数,735
長崎県,東京都,男,303
長崎県,東京都,女,432
熊本県,東京都,総数,1055
熊本県,東京都,男,518
熊本県,東京都,女,537
大分県,東京都,総数,598
大分県,東京都,男,218
大分県,東京都,女,380
宮崎県,東京都,総数,322
宮崎県,東京都,男,115
宮崎県,東京都,女,207
鹿児島県,東京都,総数,711
鹿児島県,東京都,男,256
鹿児島県,東京都,女,455
沖縄県,東京都,総数,195
沖縄県,東京都,男,76
沖縄県,東京都,女,119
新潟県,神奈川県,総数,825
新潟県,神奈川県,男,319
新潟県,神奈川県,女,506
富山県,神奈川県,総数,290
富山県,神奈川県,男,140
富山県,神奈川県,女,150
石川県,神奈川県,総数,387
石川県,神奈川県,男,176
石川県,神奈川県,女,211
福井県,神奈川県,総数,198
福井県,神奈川県,男,94
福井県,神奈川県,女,104
神奈川県,山梨県,総数,92
神奈川県,山梨県,男,144
山梨県,神奈川県,女,52
神奈川県,長野県,総数,16
神奈川県,長野県,男,29
長野県,神奈川県,女,13
岐阜県,神奈川県,総数,481
岐阜県,神奈川県,男,242
岐阜県,神奈川県,女,239
静岡県,神奈川県,総数,1899
静岡県,神奈川県,男,797
静岡県,神奈川県,女,1102
愛知県,神奈川県,総数,2259
愛知県,神奈川県,男,1119
愛知県,神奈川県,女,1140
三重県,神奈川県,総数,440
三重県,神奈川県,男,195
三重県,神奈川県,女,245
滋賀県,神奈川県,総数,273
滋賀県,神奈川県,男,159
滋賀県,神奈川県,女,114
京都府,神奈川県,総数,569
京都府,神奈川県,男,321
京都府,神奈川県,女,248
大阪府,神奈川県,総数,1563
大阪府,神奈川県,男,733
大阪府,神奈川県,女,830
兵庫県,神奈川県,総数,844
兵庫県,神奈川県,男,502
兵庫県,神奈川県,女,342
奈良県,神奈川県,総数,168
奈良県,神奈川県,男,75
奈良県,神奈川県,女,93
和歌山県,神奈川県,総数,103
和歌山県,神奈川県,男,36
和歌山県,神奈川県,女,67
鳥取県,神奈川県,総数,92
鳥取県,神奈川県,男,66
鳥取県,神奈川県,女,26
島根県,神奈川県,総数,88
島根県,神奈川県,男,36
島根県,神奈川県,女,52
岡山県,神奈川県,総数,517
岡山県,神奈川県,男,278
岡山県,神奈川県,女,239
広島県,神奈川県,総数,922
広島県,神奈川県,男,469
広島県,神奈川県,女,453
山口県,神奈川県,総数,273
山口県,神奈川県,男,106
山口県,神奈川県,女,167
徳島県,神奈川県,総数,27
徳島県,神奈川県,男,11
徳島県,神奈川県,女,16
香川県,神奈川県,総数,292
香川県,神奈川県,男,163
香川県,神奈川県,女,129
愛媛県,神奈川県,総数,232
愛媛県,神奈川県,男,128
愛媛県,神奈川県,女,104
高知県,神奈川県,総数,57
高知県,神奈川県,男,26
高知県,神奈川県,女,31
福岡県,神奈川県,総数,417
福岡県,神奈川県,男,103
福岡県,神奈川県,女,314
佐賀県,神奈川県,総数,137
佐賀県,神奈川県,男,55
佐賀県,神奈川県,女,82
長崎県,神奈川県,総数,162
長崎県,神奈川県,男,88
長崎県,神奈川県,女,74
熊本県,神奈川県,総数,329
熊本県,神奈川県,男,179
熊本県,神奈川県,女,150
大分県,神奈川県,総数,74
大分県,神奈川県,男,15
大分県,神奈川県,女,59
宮崎県,神奈川県,総数,98
神奈川県,宮崎県,男,23
宮崎県,神奈川県,女,121
鹿児島県,神奈川県,総数,240
鹿児島県,神奈川県,男,59
鹿児島県,神奈川県,女,181
神奈川県,沖縄県,総数,9
沖縄県,神奈川県,男,16
神奈川県,沖縄県,女,25
新潟県,富山県,総数,57
新潟県,富山県,男,21
新潟県,富山県,女,36
新潟県,石川県,総数,100
新潟県,石川県,男,41
新潟県,石川県,女,59
福井県,新潟県,総数,25
福井県,新潟県,男,29
新潟県,福井県,女,4
新潟県,山梨県,総数,35
山梨県,新潟県,男,12
新潟県,山梨県,女,47
新潟県,長野県,総数,158
新潟県,長野県,男,102
新潟県,長野県,女,56
新潟県,岐阜県,総数,57
新潟県,岐阜県,男,23
新潟県,岐阜県,女,34
新潟県,静岡県,総数,83
新潟県,静岡県,男,30
新潟県,静岡県,女,53
新潟県,愛知県,総数,227
新潟県,愛知県,男,129
新潟県,愛知県,女,98
新潟県,三重県,総数,23
新潟県,三重県,男,10
新潟県,三重県,女,13
新潟県,滋賀県,総数,33
新潟県,滋賀県,男,17
新潟県,滋賀県,女,16
新潟県,京都府,総数,156
新潟県,京都府,男,81
新潟県,京都府,女,75
新潟県,大阪府,総数,109
新潟県,大阪府,男,26
新潟県,大阪府,女,83
新潟県,兵庫県,総数,57
新潟県,兵庫県,男,32
新潟県,兵庫県,女,25
新潟県,奈良県,総数,38
新潟県,奈良県,男,24
新潟県,奈良県,女,14
新潟県,和歌山県,総数,6
新潟県,和歌山県,男,10
和歌山県,新潟県,女,4
鳥取県,新潟県,総数,15
鳥取県,新潟県,男,7
鳥取県,新潟県,女,8
島根県,新潟県,総数,2
島根県,新潟県,男,6
新潟県,島根県,女,4
岡山県,新潟県,総数,14
新潟県,岡山県,男,3
岡山県,新潟県,女,17
広島県,新潟県,総数,4
新潟県,広島県,男,6
広島県,新潟県,女,10
新潟県,山口県,総数,2
新潟県,山口県,男,8
山口県,新潟県,女,6
徳島県,新潟県,総数,34
徳島県,新潟県,男,20
徳島県,新潟県,女,14
香川県,新潟県,総数,43
香川県,新潟県,男,13
香川県,新潟県,女,30
愛媛県,新潟県,総数,6
新潟県,愛媛県,男,9
愛媛県,新潟県,女,15
新潟県,高知県,総数,1
高知県,新潟県,男,5
新潟県,高知県,女,6
新潟県,福岡県,総数,39
新潟県,福岡県,男,25
新潟県,福岡県,女,14
新潟県,佐賀県,総数,27
新潟県,佐賀県,男,17
新潟県,佐賀県,女,10
新潟県,長崎県,総数,3
新潟県,長崎県,男,9
長崎県,新潟県,女,6
新潟県,熊本県,総数,27
新潟県,熊本県,男,24
新潟県,熊本県,女,3
大分県,新潟県,総数,8
大分県,新潟県,男,2
大分県,新潟県,女,6
宮崎県,新潟県,総数,33
宮崎県,新潟県,男,16
宮崎県,新潟県,女,17
新潟県,鹿児島県,総数,13
新潟県,鹿児島県,男,26
鹿児島県,新潟県,女,13
沖縄県,新潟県,総数,14
新潟県,沖縄県,男,6
沖縄県,新潟県,女,20
石川県,富山県,総数,124
石川県,富山県,男,143
富山県,石川県,女,19
福井県,富山県,総数,83
福井県,富山県,男,11
福井県,富山県,女,72
山梨県,富山県,総数,20
山梨県,富山県,男,11
山梨県,富山県,女,9
長野県,富山県,総数,18
富山県,長野県,男,11
長野県,富山県,女,29
岐阜県,富山県,総数,119
岐阜県,富山県,男,76
岐阜県,富山県,女,43
静岡県,富山県,総数,17
静岡県,富山県,男,23
富山県,静岡県,女,6
富山県,愛知県,総数,215
富山県,愛知県,男,56
富山県,愛知県,女,159
三重県,富山県,総数,121
三重県,富山県,男,83
三重県,富山県,女,38
富山県,滋賀県,総数,31
富山県,滋賀県,男,16
富山県,滋賀県,女,15
富山県,京都府,総数,57
富山県,京都府,男,14
富山県,京都府,女,43
富山県,大阪府,総数,182
富山県,大阪府,男,48
富山県,大阪府,女,134
兵庫県,富山県,総数,15
兵庫県,富山県,男,11
兵庫県,富山県,女,4
富山県,奈良県,総数,18
富山県,奈良県,男,0
富山県,奈良県,女,18
和歌山県,富山県,総数,10
和歌山県,富山県,男,3
和歌山県,富山県,女,7
鳥取県,富山県,総数,16
鳥取県,富山県,男,12
鳥取県,富山県,女,4
島根県,富山県,総数,15
島根県,富山県,男,8
島根県,富山県,女,7
岡山県,富山県,総数,8
岡山県,富山県,男,6
岡山県,富山県,女,2
広島県,富山県,総数,37
広島県,富山県,男,24
広島県,富山県,女,13
富山県,山口県,総数,16
富山県,山口県,男,10
富山県,山口県,女,6
徳島県,富山県,総数,42
徳島県,富山県,男,18
徳島県,富山県,女,24
香川県,富山県,総数,5
香川県,富山県,男,6
富山県,香川県,女,1
愛媛県,富山県,総数,11
愛媛県,富山県,男,17
富山県,愛媛県,女,6
富山県,高知県,総数,9
富山県,高知県,男,10
高知県,富山県,女,1
富山県,福岡県,総数,24
富山県,福岡県,男,14
富山県,福岡県,女,10
富山県,佐賀県,総数,6
富山県,佐賀県,男,3
富山県,佐賀県,女,3
長崎県,富山県,総数,15
長崎県,富山県,男,11
長崎県,富山県,女,4
富山県,熊本県,総数,27
富山県,熊本県,男,13
富山県,熊本県,女,14
富山県,大分県,総数,2
富山県,大分県,男,5
大分県,富山県,女,3
宮崎県,富山県,総数,6
宮崎県,富山県,男,4
宮崎県,富山県,女,2
富山県,鹿児島県,総数,3
富山県,鹿児島県,男,7
鹿児島県,富山県,女,4
沖縄県,富山県,総数,3
沖縄県,富山県,男,5
富山県,沖縄県,女,2
福井県,石川県,総数,466
福井県,石川県,男,223
福井県,石川県,女,243
石川県,山梨県,総数,41
石川県,山梨県,男,20
石川県,山梨県,女,21
石川県,長野県,総数,68
石川県,長野県,男,24
石川県,長野県,女,44
石川県,岐阜県,総数,22
石川県,岐阜県,男,18
石川県,岐阜県,女,4
石川県,静岡県,総数,18
静岡県,石川県,男,8
石川県,静岡県,女,26
石川県,愛知県,総数,512
石川県,愛知県,男,220
石川県,愛知県,女,292
三重県,石川県,総数,53
三重県,石川県,男,36
三重県,石川県,女,17
滋賀県,石川県,総数,78
滋賀県,石川県,男,79
石川県,滋賀県,女,1
石川県,京都府,総数,41
石川県,京都府,男,23
石川県,京都府,女,18
石川県,大阪府,総数,391
石川県,大阪府,男,143
石川県,大阪府,女,248
石川県,兵庫県,総数,124
石川県,兵庫県,男,51
石川県,兵庫県,女,73
石川県,奈良県,総数,0
奈良県,石川県,男,4
石川県,奈良県,女,4
和歌山県,石川県,総数,13
和歌山県,石川県,男,1
和歌山県,石川県,女,12
石川県,鳥取県,総数,5
石川県,鳥取県,男,4
石川県,鳥取県,女,1
島根県,石川県,総数,12
島根県,石川県,男,3
島根県,石川県,女,9
岡山県,石川県,総数,19
岡山県,石川県,男,16
岡山県,石川県,女,3
石川県,広島県,総数,3
広島県,石川県,男,10
石川県,広島県,女,13
山口県,石川県,総数,14
石川県,山口県,男,3
山口県,石川県,女,17
徳島県,石川県,総数,18
徳島県,石川県,男,5
徳島県,石川県,女,13
香川県,石川県,総数,1
香川県,石川県,男,10
石川県,香川県,女,9
愛媛県,石川県,総数,5
愛媛県,石川県,男,2
愛媛県,石川県,女,3
石川県,高知県,総数,15
石川県,高知県,男,14
石川県,高知県,女,1
石川県,福岡県,総数,52
石川県,福岡県,男,45
石川県,福岡県,女,7
石川県,佐賀県,総数,2
石川県,佐賀県,男,1
石川県,佐賀県,女,1
長崎県,石川県,総数,5
長崎県,石川県,男,6
石川県,長崎県,女,1
石川県,熊本県,総数,27
石川県,熊本県,男,8
石川県,熊本県,女,19
石川県,大分県,総数,20
石川県,大分県,男,11
石川県,大分県,女,9
宮崎県,石川県,総数,8
宮崎県,石川県,男,10
石川県,宮崎県,女,2
鹿児島県,石川県,総数,14
石川県,鹿児島県,男,0
鹿児島県,石川県,女,14
石川県,沖縄県,総数,2
石川県,沖縄県,男,8
沖縄県,石川県,女,6
福井県,山梨県,総数,15
福井県,山梨県,男,1
福井県,山梨県,女,14
福井県,長野県,総数,3
長野県,福井県,男,3
福井県,長野県,女,6
福井県,岐阜県,総数,115
福井県,岐阜県,男,60
福井県,岐阜県,女,55
福井県,静岡県,総数,128
福井県,静岡県,男,45
福井県,静岡県,女,83
福井県,愛知県,総数,499
福井県,愛知県,男,218
福井県,愛知県,女,281
福井県,三重県,総数,69
福井県,三重県,男,30
福井県,三重県,女,39
福井県,滋賀県,総数,87
福井県,滋賀県,男,33
福井県,滋賀県,女,54
福井県,京都府,総数,159
福井県,京都府,男,80
福井県,京都府,女,79
福井県,大阪府,総数,511
福井県,大阪府,男,201
福井県,大阪府,女,310
福井県,兵庫県,総数,135
福井県,兵庫県,男,51
福井県,兵庫県,女,84
奈良県,福井県,総数,6
奈良県,福井県,男,7
福井県,奈良県,女,1
福井県,和歌山県,総数,8
福井県,和歌山県,男,0
福井県,和歌山県,女,8
鳥取県,福井県,総数,9
鳥取県,福井県,男,2
鳥取県,福井県,女,7
福井県,島根県,総数,0
福井県,島根県,男,8
島根県,福井県,女,8
岡山県,福井県,総数,45
岡山県,福井県,男,1
岡山県,福井県,女,44
広島県,福井県,総数,4
広島県,福井県,男,2
広島県,福井県,女,2
福井県,山口県,総数,35
福井県,山口県,男,11
福井県,山口県,女,24
