移動前,移動後,性別,人数
青森県,大阪府,総数,125
青森県,大阪府,男,53
青森県,大阪府,女,72
兵庫県,青森県,総数,45
青森県,兵庫県,男,4
兵庫県,青森県,女,49
奈良県,青森県,総数,3
奈良県,青森県,男,6
青森県,奈良県,女,3
和歌山県,青森県,総数,10
和歌山県,青森県,男,2
和歌山県,青森県,女,8
青森県,鳥取県,総数,3
青森県,鳥取県,男,0
青森県,鳥取県,女,3
青森県,島根県,総数,24
青森県,島根県,男,7
青森県,島根県,女,17
岡山県,青森県,総数,13
岡山県,青森県,男,11
岡山県,青森県,女,2
広島県,青森県,総数,77
広島県,青森県,男,68
広島県,青森県,女,9
青森県,山口県,総数,5
青森県,山口県,男,36
山口県,青森県,女,31
青森県,徳島県,総数,1
徳島県,青森県,男,4
青森県,徳島県,女,5
香川県,青森県,総数,15
香川県,青森県,男,10
香川県,青森県,女,5
青森県,愛媛県,総数,16
青森県,愛媛県,男,4
青森県,愛媛県,女,12
青森県,高知県,総数,0
青森県,高知県,男,3
高知県,青森県,女,3
青森県,福岡県,総数,7
福岡県,青森県,男,5
青森県,福岡県,女,12
青森県,佐賀県,総数,4
青森県,佐賀県,男,1
青森県,佐賀県,女,3
長崎県,青森県,総数,36
長崎県,青森県,男,32
長崎県,青森県,女,4
青森県,熊本県,総数,43
青森県,熊本県,男,22
青森県,熊本県,女,21
青森県,大分県,総数,17
青森県,大分県,男,3
青森県,大分県,女,14
宮崎県,青森県,総数,40
宮崎県,青森県,男,26
宮崎県,青森県,女,14
青森県,鹿児島県,総数,19
青森県,鹿児島県,男,12
青森県,鹿児島県,女,7
青森県,沖縄県,総数,20
青森県,沖縄県,男,15
青森県,沖縄県,女,5
岩手県,宮城県,総数,1585
岩手県,宮城県,男,690
岩手県,宮城県,女,895
秋田県,岩手県,総数,93
秋田県,岩手県,男,75
秋田県,岩手県,女,18
山形県,岩手県,総数,27
山形県,岩手県,男,35
岩手県,山形県,女,8
岩手県,福島県,総数,67
岩手県,福島県,男,75
福島県,岩手県,女,8
岩手県,茨城県,総数,128
岩手県,茨城県,男,54
岩手県,茨城県,女,74
岩手県,栃木県,総数,75
岩手県,栃木県,男,44
岩手県,栃木県,女,31
岩手県,群馬県,総数,81
岩手県,群馬県,男,20
岩手県,群馬県,女,61
岩手県,埼玉県,総数,371
岩手県,埼玉県,男,132
岩手県,埼玉県,女,239
岩手県,千葉県,総数,107
岩手県,千葉県,男,42
岩手県,千葉県,女,65
岩手県,東京都,総数,1074
岩手県,東京都,男,457
岩手県,東京都,女,617
岩手県,神奈川県,総数,286
岩手県,神奈川県,男,102
岩手県,神奈川県,女,184
岩手県,新潟県,総数,27
新潟県,岩手県,男,1
岩手県,新潟県,女,28
富山県,岩手県,総数,9
富山県,岩手県,男,3
富山県,岩手県,女,6
岩手県,石川県,総数,1
岩手県,石川県,男,12
石川県,岩手県,女,11
岩手県,福井県,総数,9
岩手県,福井県,男,5
岩手県,福井県,女,4
岩手県,山梨県,総数,10
山梨県,岩手県,男,19
岩手県,山梨県,女,29
岩手県,長野県,総数,43
岩手県,長野県,男,17
岩手県,長野県,女,26
岩手県,岐阜県,総数,22
岩手県,岐阜県,男,5
岩手県,岐阜県,女,17
岩手県,静岡県,総数,57
岩手県,静岡県,男,13
岩手県,静岡県,女,44
岩手県,愛知県,総数,58
岩手県,愛知県,男,29
岩手県,愛知県,女,29
岩手県,三重県,総数,41
岩手県,三重県,男,21
岩手県,三重県,女,20
岩手県,滋賀県,総数,48
岩手県,滋賀県,男,15
岩手県,滋賀県,女,33
岩手県,京都府,総数,59
岩手県,京都府,男,33
岩手県,京都府,女,26
岩手県,大阪府,総数,82
岩手県,大阪府,男,50
岩手県,大阪府,女,32
岩手県,兵庫県,総数,7
岩手県,兵庫県,男,3
岩手県,兵庫県,女,4
岩手県,奈良県,総数,18
岩手県,奈良県,男,3
岩手県,奈良県,女,15
和歌山県,岩手県,総数,6
和歌山県,岩手県,男,6
岩手県,和歌山県,女,0
岩手県,鳥取県,総数,13
岩手県,鳥取県,男,9
岩手県,鳥取県,女,4
島根県,岩手県,総数,14
島根県,岩手県,男,5
島根県,岩手県,女,9
岩手県,岡山県,総数,23
岩手県,岡山県,男,14
岩手県,岡山県,女,9
広島県,岩手県,総数,19
広島県,岩手県,男,3
広島県,岩手県,女,16
岩手県,山口県,総数,27
岩手県,山口県,男,10
岩手県,山口県,女,17
岩手県,徳島県,総数,4
岩手県,徳島県,男,2
岩手県,徳島県,女,2
岩手県,香川県,総数,0
岩手県,香川県,男,1
香川県,岩手県,女,1
岩手県,愛媛県,総数,7
愛媛県,岩手県,男,1
岩手県,愛媛県,女,8
岩手県,高知県,総数,3
岩手県,高知県,男,1
岩手県,高知県,女,2
岩手県,福岡県,総数,5
福岡県,岩手県,男,13
岩手県,福岡県,女,18
佐賀県,岩手県,総数,6
佐賀県,岩手県,男,5
佐賀県,岩手県,女,1
岩手県,長崎県,総数,10
岩手県,長崎県,男,6
岩手県,長崎県,女,4
岩手県,熊本県,総数,26
岩手県,熊本県,男,15
岩手県,熊本県,女,11
岩手県,大分県,総数,14
岩手県,大分県,男,9
岩手県,大分県,女,5
岩手県,宮崎県,総数,18
岩手県,宮崎県,男,10
岩手県,宮崎県,女,8
鹿児島県,岩手県,総数,7
鹿児島県,岩手県,男,4
